Hạn chế,Restriction,Hạn chế (restrict),'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Xe giường nằm,Sleeper bus,"Xe (vehicle), Giường nằm (bed)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Nội đô,Inner city,"Nội (inner), Đô (city)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Kiến nghị,Recommendation,Kiến nghị (recommend),'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Cấm,Prohibit,Cấm (forbid),'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Ôtô khách,Passenger car,"Ôtô (car), Khách (passenger)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Giới hạn,Limit,Giới hạn (limit),'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Phương tiện cá nhân,Personal vehicle,"Phương tiện (vehicle), Cá nhân (personal)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Thuê bãi đậu,Rent parking lot,"Thuê (rent), Bãi đậu (parking lot)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
An toàn giao thông,Traffic safety,"An toàn (safety), Giao thông (traffic)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Đón xe,Pick up the car,"Đón (pick up), Xe (car)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Lệnh cấm,Prohibition order,"Lệnh (order), Cấm (prohibit)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Tuyến cố định,Fixed route,"Tuyến (route), Cố định (fixed)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Vận tải hành khách,Passenger transport,"Vận tải (transport), Hành khách (passenger)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Hợp đồng,Contract,Hợp đồng (contract),'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Du lịch,Tourism,Du lịch (tourism),'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Bến xe liên tỉnh,Inter-provincial bus station,"Bến xe (bus station), Liên tỉnh (inter-provincial)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Khu trung tâm,City center,Khu trung tâm (center area),'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Đón trả khách,Pick up and drop off passengers,"Đón trả (pick up and drop off), Khách (passenger)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
Sai quy định,Violation of regulations,"Sai (wrong), Quy định (regulation)",'Lãng phí nếu cấm hoàn toàn xe giường nằm vào nội đô TP HCM',05-23-23,https://vnexpress.net/lang-phi-neu-cam-hoan-toan-xe-giuong-nam-vao-noi-do-tp-hcm-4608556.html
